613;612;700,AS009,C1M031,"Revelle: Blake, Argo, Urey Hall"
750;749;792;817;820;816,AS010,C1M057,"Muir: Tamarack E, Tamarack W, Tuolumne T East, McGill Hall, Mandler Hall, Roots and Pines"
804;803;799;None;789;782;751,AS064,C1M059,"Muir: Tuolumne S North, Tuolumne S West, Tuolumne S East, Tuolumne, Tuolumne T North, Tuolumne T South, Tioga, "
752;816;824;847;855;850;1121;854;851;861;868;864;865;860;867;866;1061;859;856;846;843;842,AS014,C1M060,"Muir: Tenaya, Roots and Pines, Roots and Pines Annex, Extended Studies and Public Programs Buildings"
671,AS012,C2M015,Rita Atkinson Residences
725;720;729,AS051,C3M039,"Residence Hall 703, 704, 705"
736;739;723,AS052,C3M041,"Residence Hall 706, Camp Snoopy Student Services, 789 Camp Snoopy"
746;785;794;796,AS053,C3M042,"Residence Hall 707, 708, 709, 710 "
961;959;857;1120,AS029,C3M149,"Marshall Lower Apartments - F, B, Marshall College Dean's Residence, Fireside Lounge"
960;848;1132;1103,AS061,C3M150,"Marshall Lower Apartments - A, 103/A Marshall College, Eucalyptus Point"
753;1091;1101;1036;10135,AS062,C3M152,"Marshall Upper Apartments - J; Goody's Place, Thurgood Marshall College Administration Building, Economics Building, Sequoyah Hall"
762;757;755;760;761,AS063,C3M158,"Marshall Upper Apartments - G, H, K, L, M"
957;758;958,AS060,C3M159,"Marshall Lower Apartments - C, D, E"
955;754;759,AS058,C3M097,"Warren Apts - Black, Brennan, Goldberg"
1099;1069;858;869;955,AS057,C3M095,"Engineering Building Unit II, Warren Student Activity Center, Computer Science and Engineering Building, Atkinson Hall; Warren: Black Apts"
769;767;765;754;1068;878,AS074,C3M091,"Warren: Harlan Hall; Frankfurter Hall; Stewart Hall; Brennan Apts, Douglas Apts; Canyon Vista"
726,AS070,C3M026,Pepper Canyon Apts (1500)
743;738;730;741,AS071,C3M027,"Pepper Canyon Apts (1300, 1400); Pepper Canyon South Laundry; Pepper Canyon Asst Dean Residence"
802;791;781;745,AS072,C3M008,"Pepper Canyon Apts (300, 500, 600, 700)"
813;815;810;806,AS073,C3M010,"Pepper Canyon Apts (100, 200, 400); Pepper Canyon North Laundry"
727;719,AS059,C3M022,"Pepper Canyon Apts 1200, 1800"
939;940;945;946;1003,AS018,C6M021,"One Miramar Street 1, 2, 3, 4, 5"
939;940;945,AS013,C6M025,"One Miramar Street 1, 2,3"
1146,AS016,C6M088,Neuva West - Brisa
1146;1145;1109;1153,AS015,C6M092,"Neuva West - Brisa, Viento, Ola, Marketplace (CLOSED)"
1149,AS017,C6M094,Nuevo East - Piedra
1147;1151,AS019,C6M095,"Nuevo East - Capa, Astilla"
1148,AS020,C6M097,Nuevo East - Porton
1148;1152,AS021,C6M098,"Nuevo East - Porton, Exchange"
1106;1107,AS003,C6M075,"Mesa Nueva - Cresta, Artesa"
1108,AS002,C6M072,Mesa Nueva - Cala
1104;1105,AS067,C6M079,"Mesa Nueva - Marea, Arena (south)"
1105,AS068,C6M078,Mesa Nueva - Arena (north)
1109,AS069,C6M099,Mesa Nueva - Ola
992;908;915;906,AS039,C6M031,"Mesa Apts South: 9126 (Laundry CLOSED ), 9100, 9118, 9122"
906;912;903;919;904;918;917,AS038,C6M033,"Mesa Apts South: 9122, 9130, 9134, 9138, 9142, 9146, 9152"
905;907;913;991,AS037,C6M034,"Mesa Apts South: 9148, 9160, 9162, 9156 (Laundry CLOSED)"
936;933;930;935;934,AS042,C6M041,"Mesa Apts Central: 9260, 9262, 9264 (Laundry CLOSED), 9266, 9268, 9270"
927;956;936,AS043,C6M042,"Mesa Apts Central: 9256, 9258, 9260"
942;938;937,AS044,C6M043,"Mesa Apts Central: 9246, 9248, 9250"
941;944;943,AS046,C6M045,"Mesa Apts Central: 9240, 9242, 9244"
929;931;932;998,AS047,C6M046,"Mesa Apts Central: 9234, 9236, 9252, 9254, 9238 (W Laundry CLOSED)"
913;926;924,AS048,C6M047,"Mesa Apts South: 9162; Mesa Apts Central: 9230, 9232"
923;928;909;916;995;996,AS049,C6M049,"Mesa Central 9226, 9228; Mesa South 9168, 9172; Mesa Support B - C"
911;920,AS066,C6M030,"Mesa Apts South: 9106, 9114"
914;921,AS082,C6M012,Mesa Apts South (9188 - 9192)
922;993,AS081,C6M011,Mesa Apts South (9180); South Mesa Laundry (9184)
910,AS080,C6M010,Mesa Apts South (9176)
969,AS024,C7M005,Seventh West - 3
967;970;974;973;966,AS023,C7M008,"Seventh East - 4, 5, 6, 7; Wells Fargo Hall"
975;971,AS022,C7M012,"Seventh East - 3, 4"
776;772;774;777;780;902;779;900;898;901;899;962;897;965;,AS034,C7M017,"Middle East, Oceania, Europe, Asia, Africa, Mesa Verde N, Mesa Verde S, Kathmandu W, Asante W, Geneva W, Cuzco W; Café Ventanas; ERC Admin North, South, Otterson Hall"
985;766;768,AS030,C7M024,"Great Hall, Asante E, Cuzco E"
775;889;771,AS031,C7M025,"Geneva E, ERC Laundry East (CLOSED), Kathmandu E"
770;773;778;881;962,AS035,C7M027,"North America, Latin America, Earth, ERC Laundry South (CLOSED), Cafe Ventanas"
951;756;952;947,AS028,C7M030,"Marshall R, U, S, T"
953;763;948;872,AS027,C7M031,"Marshall P, Q, V; Ocean View Terrace"
949;950;872,AS026,C7M032,"Marshall N, O; Ocean View Terrace"
1159;1161,AS005,C1M161,"Catalyst, NTPLLN Public Engagement Building"
1157,AS008,SMISC-079,Kaleidoscope
1158,AS007,SMISC-080,Tapestry
657;658;662;663;664,AS054,S2M015,"Coast Apts: 9366, 9388 Redwood Drive; 9369, 9383, 9393 Discovery Way"
649;653;655,AS055,S2M016,"Coast Apts: 9334, 9344, 9350 Redwood Drive"
648;652;656;659,AS056,S2M017,"Coast Apts: 9310 Redwood Drive; 9321, 9331, 9355 Discovery Way"
607;603;604;605,AS079,C1M021,"Revelle Apts: Keeling 2 (south most), Keeling 3; Meteor Hall; Galathea Hall "
607,AS077,C1M106,Revelle: Keeling Apts 2 (north to central)
611;607,AS076,C1M107,Revelle: Keeling Apts 1 & 2 (north most)
609;1074;687;690,AS075,C1M024,"Revelle: Beagle Hall (north); Natural Sciences Building; Housing, Dining, and Hospitality Services; 64 Degrees (west)"
606;608;610;609;690,AS078,C1M022,Revelle: Atlantis Hall; Discovery Hall; Challenger Hall; Beagle Hall (southeast); 64 Degrees (east)
707,AS088,C1M039,George Palade Laboratories for Cellular and Molecular Medicine
691;705;694,AS084,C2M008A,"W.M. Keck Building, Biomedical Sciences Building, Biomedical Sciences Building Addition"
686,AS085,C2M006A,Skaggs Pharmaceutical Sciences Building
1079,AS086,C2M003,T. Denny Sanford Medical Education and Telemedicine Center
701,AS087,C5M008,Stein Clinical Research Center
703;1079,AS083,C2M005A,"Medical Teaching Facility, T. Denny Sanford Medical Education and Telemedicine Center"
689;698;699;700;697,AS089,C1M028B,"York Hall, Mayer Hall (+Addition), Urey Hall (+Addition)"
702;1060,AS090,C1M049,"Pacific Hall, Tata Hall"
825,AS091,C1M053,Applied Physics and Mathematics
805,AS092,C1M053A,Biology Building
853,AS093,C3M108,Powell-Focht Bioengineering Hall
1112,AS094,C3M109,Jacobs Hall
862;852;870;875;874;1110;1111;873;863;880,AS095,C3M206,"Police Building, CSC Complex Buildings A-H, Environmental Management Facility, Fleet Services, Landscape Services, Electric Shop, Transit Operations"
1096;1115,AS098,C3M187,"RIMAC, RIMAC Annex"
1097,AS096,C4M086,Center for Novel Therapeutics
1083;1032;1084;1050;1020;1040;1041;1042;1043;1021;1039;1019;1092,AS097,C4M010,"Hamilton Glaucoma and Jacobs Retina Center, Anne Ratner Children's Eye Center, Shiley Eye Institute, Preuss School, East Campus Utilities Plant"
650;647,AS099,SC0010,"Keck Oceanographic and Atmospheric Research (OAR) - Buildings 1, 3"
642;1142,AS100,S1M019,"Fred N. Speiss Hall, Keck OAR 3"
1054,AS101,SC0812,MESOM
629;632,AS102,SC0023,Deep Sea Drilling Complex (East & West)
640,AS103,S1M046,Nierenberg Hall
634;635;637,AS104,S1M045,"IGPP Revelle Laboratory - 2000, 3000, 4000"
618,AS105,RITTER,Ritter Hall
631,AS106,S1M007,Hubbs Hall
614;1053;1052;617;1051,AS107,S2M001A,"Nori, Rockweed, LIMU, Kelp, Eelgrass"
619;1073,AS108,S2M003,"Corallina, Birch Aquarium at Scripps"
706,AS116,C3M049B,Leichtag Foundation Biomedical Research Building
787,AS117,C3M210,Conrad Prebys Music Center
983;984;707,AS119,C3M049A,"Cellular and Molecular Medicine East, Center for Neural Circuits and Behavior, George Palade Laboratories for Cellular and Molecular Medicine"
1080,AS120,C2M032,Biomedical Research Facility II
692,AS111,SOMB4,School of Medicine Building 4
1075;838,AS112,C3M146,"Solis Hall, Social Sciences Research Building"
1100;1075;1102,AS113,C3M143,"Cognitive Science Building, Solis Hall, Communication Building"
967;970;974;989;883;879;877,AS114,C3M170,"Seventh West 4, 5, 6; Social Sciences Building, Robinson Building 1 - Administration, Robinson Building 2 - Auditorium, Robinson Building 3 - Library"
1099,AS115,SMISC-027,Engineering Building Unit II
1077;835;837;1099;954;764,AS109,C3M219,"Structural and Materials Engineering Building, Canyonview Aquatic and Climbing Wall Facility, Canyonview Filter Facility, Engineering Building Unit II, Warren Apartments - Brown, Warren Apartments - Bates"
875,AS110,SC0688,Campus Services Complex Building - D
862,AS121,S01885,Campus Emergency Services Building (Police Station)
1114,AS122,S01034,Center for Memory and Recording Research
1089;1133,AS123,SC0346,"Science and Engineering Research Facility, Powell Structural Components Laboratory"
882,AS124,SC0157,San Diego Supercomputer Center (+ East Expansion)
963,AS125,SC0170,North Campus Restrooms Building
1096,AS126,SC0154,RIMAC
1116;1117,AS127,C7M011,"Seventh East - 1, 2"
972;974;973;978,AS128,C7M016,"Seventh West - 2, 6, 7, 8"
977;978,AS129,C7M014,"Seventh West 1, 8"
1037,AS130,SMISC-014,Sverdrup Hall
1034,AS131,C4M083,La Jolla Institute for Allergy And Immunology
1097;1025;1024,AS132,C4M031,"Center For Novel Therapeutics, Radiation Oncology PET/CT Center, Medical Center Modular 1"
1084,AS133,SC0789,Shiley Eye Institute
1055,AS134,C4M055F,Koman Family Outpatient Pavilion
686,AS135,SC0632,Skaggs Pharmaceutical Sciences Building
722;711,AS136,C3M024,"Pepper Canyon Apartments 1600, 1700"
744;736;733,AS137,C3M007,"Pepper Canyon Apartments 1000, 1100, Lodge"
748,AS138,C3M006,Pepper Canyon Apartments 900
740,AS139,C3M005,Pepper Canyon Apartments 800
811;809;784;793;1076;814,AS140,SC0475,"Matthews Apartments A, B, D, E; Foodworx; Matthews Maintenance and Lounge"
929;931;932;925;998,AS141,C6M046,"Mesa Apts Central: 9234, 9236, 9252, 9254, 9238 (W Laundry CLOSED)"
906;912;903;919;904;918;917,AS142,C6M033,"Mesa Apts South: 9122, 9130, 9134, 9138, 9142, 9146, 9152"
911;920,AS143,C6M030,"Mesa Apts South: 9106, 9114"
727;719,AS144,C3M022,"Pepper Canyon Apts 1200, 1800"
762;757;755;760;761,AS145,C3M158,"Marshall Upper Apartments - G, H, K, L, M"
752;816;824;847;855;850;1121;854;851;861;868;864;865;860;867;866;1061;859;856;846;843;842,AS146,C1M060,"Muir: Tenaya, Roots and Pines, Roots and Pines Annex, Extended Studies and Public Programs Buildings"
975;971,AS147,C7M012,"Seventh East - 3, 4"
969,AS148,C7M005,Seventh West - 3
776;772;774;777;780;902;779;900;898;901;899;962;897;965;,AS149,C7M017,"Middle East, Oceania, Europe, Asia, Africa, Mesa Verde N, Mesa Verde S, Kathmandu W, Asante W, Geneva W, Cuzco W; Café Ventanas; ERC Admin North, South, Otterson Hall"
1039,AS150,C4M023,Preuss School UCSD - Building F
1040;1041;1042;1043;1021,AS151,SC0806,"Preuss School UCSD - Building A,B,C,D,E"
1040;1041;1042,AS152,SC0805,"Preuss School UCSD - Building A,B,C"
1040;1041,AS153,SC0804,"Preuss School UCSD - Building A,B"
1064,AS154,C4M049,Altman Clinical and Translational Research Institute N (ACTRI)
1064,AS155,C4M045,Altman Clinical and Translational Research Institute N (ACTRI)
1095,AS156,SANFORD,Sanford Consortium
980,AS157,SC0004,Torrey Pines Center South
981,AS158,SC0085,Torrey Pines Center North